Date,Cases,Deaths,Population
2020-01-22,0,0,39512223
2020-01-23,0,0,39512223
2020-01-24,0,0,39512223
2020-01-25,0,0,39512223
2020-01-26,2,0,39512223
2020-01-27,2,0,39512223
2020-01-28,2,0,39512223
2020-01-29,2,0,39512223
2020-01-30,2,0,39512223
2020-01-31,3,0,39512223
2020-02-01,3,0,39512223
2020-02-02,3,0,39512223
2020-02-03,6,0,39512223
2020-02-04,6,0,39512223
2020-02-05,6,0,39512223
2020-02-06,6,0,39512223
2020-02-07,6,0,39512223
2020-02-08,6,0,39512223
2020-02-09,6,0,39512223
2020-02-10,6,0,39512223
2020-02-11,7,0,39512223
2020-02-12,7,0,39512223
2020-02-13,8,0,39512223
2020-02-14,8,0,39512223
2020-02-15,8,0,39512223
2020-02-16,8,0,39512223
2020-02-17,9,0,39512223
2020-02-18,10,0,39512223
2020-02-19,10,0,39512223
2020-02-20,10,0,39512223
2020-02-21,10,0,39512223
2020-02-22,10,0,39512223
2020-02-23,10,0,39512223
2020-02-24,11,0,39512223
2020-02-25,12,0,39512223
2020-02-26,13,0,39512223
2020-02-27,13,0,39512223
2020-02-28,13,0,39512223
2020-02-29,13,0,39512223
2020-03-01,19,0,39512223
2020-03-02,23,0,39512223
2020-03-03,29,0,39512223
2020-03-04,40,1,39512223
2020-03-05,50,1,39512223
2020-03-06,68,1,39512223
2020-03-07,94,1,39512223
2020-03-08,113,1,39512223
2020-03-09,136,2,39512223
2020-03-10,158,2,39512223
2020-03-11,183,4,39512223
2020-03-12,226,5,39512223
2020-03-13,279,4,39512223
2020-03-14,335,5,39512223
2020-03-15,374,6,39512223
2020-03-16,533,6,39512223
2020-03-17,617,8,39512223
2020-03-18,793,16,39512223
2020-03-19,983,20,39512223
2020-03-20,1244,23,39512223
2020-03-21,1396,26,39512223
2020-03-22,1697,36,39512223
2020-03-23,2073,40,39512223
2020-03-24,2501,51,39512223
2020-03-25,3013,66,39512223
2020-03-26,3879,80,39512223
2020-03-27,4549,100,39512223
2020-03-28,7514,188,39512223
2020-03-29,5495,133,39512223
2020-03-30,6864,149,39512223
2020-03-31,8011,170,39512223
2020-04-01,9265,199,39512223
2020-04-02,10764,236,39512223
2020-04-03,12088,276,39512223
2020-04-04,12834,293,39512223
2020-04-05,14489,343,39512223
2020-04-06,15999,371,39512223
2020-04-07,17096,424,39512223
2020-04-08,18576,487,39512223
2020-04-09,19536,539,39512223
2020-04-10,20752,577,39512223
2020-04-11,21461,599,39512223
2020-04-12,22204,632,39512223
2020-04-13,23406,696,39512223
2020-04-14,24544,781,39512223
2020-04-15,26356,873,39512223
2020-04-16,27578,955,39512223
2020-04-17,29296,1023,39512223
2020-04-18,30642,1127,39512223
2020-04-19,31307,1161,39512223
2020-04-20,33562,1201,39512223
2020-04-21,35753,1289,39512223
2020-04-22,37748,1415,39512223
2020-04-23,39596,1505,39512223
2020-04-24,41466,1587,39512223
2020-04-25,42432,1662,39512223
2020-04-26,43735,1694,39512223
2020-04-27,45313,1734,39512223
2020-04-28,46828,1829,39512223
2020-04-29,49223,1912,39512223
2020-04-30,50711,2001,39512223
2020-05-01,52545,2097,39512223
2020-05-02,53883,2159,39512223
2020-05-03,55250,2201,39512223
2020-05-04,56611,2246,39512223
2020-05-05,59201,2359,39512223
2020-05-06,61080,2443,39512223
2020-05-07,63005,2512,39512223
2020-05-08,65130,2603,39512223
2020-05-09,67261,2674,39512223
2020-05-10,68452,2714,39512223
2020-05-11,69957,2774,39512223
2020-05-12,71645,2867,39512223
2020-05-13,73677,2947,39512223
2020-05-14,75455,3045,39512223
2020-05-15,77399,3127,39512223
2020-05-16,79469,3193,39512223
2020-05-17,81055,3228,39512223
2020-05-18,82501,3262,39512223
2020-05-19,84648,3378,39512223
2020-05-20,86926,3471,39512223
2020-05-21,89235,3557,39512223
2020-05-22,91479,3618,39512223
2020-05-23,93546,3684,39512223
2020-05-24,95332,3703,39512223
2020-05-25,97444,3717,39512223
2020-05-26,99913,3746,39512223
2020-05-27,102576,3850,39512223
2020-05-28,104736,3938,39512223
2020-05-29,107877,4015,39512223
2020-05-30,111532,4078,39512223
2020-05-31,113865,4113,39512223
2020-06-01,116302,4161,39512223
2020-06-02,118723,4252,39512223
2020-06-03,120943,4324,39512223
2020-06-04,123973,4402,39512223
2020-06-05,127103,4473,39512223
2020-06-06,129910,4545,39512223
2020-06-07,132445,4570,39512223
2020-06-08,134701,4599,39512223
2020-06-09,137513,4696,39512223
2020-06-10,140612,4805,39512223
2020-06-11,143622,4870,39512223
2020-06-12,147425,4906,39512223
2020-06-13,150675,4992,39512223
2020-06-14,153225,5014,39512223
2020-06-15,155541,5033,39512223
2020-06-16,159306,5096,39512223
2020-06-17,163854,5178,39512223
2020-06-18,168515,5272,39512223
2020-06-19,172742,5341,39512223
2020-06-20,177444,5424,39512223
2020-06-21,181622,5447,39512223
2020-06-22,187538,5468,39512223
2020-06-23,195433,5519,39512223
2020-06-24,201094,5627,39512223
2020-06-25,206574,5727,39512223
2020-06-26,213089,5794,39512223
2020-06-27,217376,5820,39512223
2020-06-28,223540,5856,39512223
2020-06-29,230696,5894,39512223
2020-06-30,240802,5990,39512223
2020-07-01,248148,6076,39512223
2020-07-02,256064,6198,39512223
2020-07-03,261503,6257,39512223
2020-07-04,266870,6273,39512223
2020-07-05,277968,6308,39512223
2020-07-06,284348,6369,39512223
2020-07-07,295492,6483,39512223
2020-07-08,303368,6631,39512223
2020-07-09,311526,6797,39512223
2020-07-10,319862,6907,39512223
2020-07-11,328120,7002,39512223
2020-07-12,335708,7028,39512223
2020-07-13,343569,7054,39512223
